category_name;englishName;populate;generalizations;mutexExceptions;instanceType;seedInstances
weatherPhenomenon;weather phenomena;TRUE;abstractThing;;common;" ""fog"" ""lightning"" ""rain"" ""snow"" ""wind"" ""hail"" ""tornado"" ""clouds"" ""storms"" ""ice"" ""thunder"" ""waves"" ""thunderstorms"" ""sleet"" ""droughts"""
animal;animals;TRUE;agent;food sportsTeam;common;" ""ants"" ""crabs"" ""brontosauruses"" ""owls"" ""bees"" ""birds"" ""worms"" ""snails"" ""squirrels"" ""whales"" ""wasps"" ""eels"" ""giraffes"" ""rhinos"" ""sharks"""
musicArtist;bands;TRUE;agent;musician;proper;" ""Beatles"" ""Radiohead"" ""Outkast"" ""Metallica"" ""Kings of Leon"" ""Green Day"" ""Nirvana"" ""Pink Floyd"" ""U2"" ""Rolling Stones"" ""Over the Rhine"" ""Pedro the Lion"" ""Lemonheads"" ""Led Zeppelin"" ""Jackson Five"""
invertebrate;invertebrates;TRUE;animal;;common;" ""worms"" ""leeches"" ""squids"" ""octopus"" ""cuttlefish"" ""nautilus"" ""snails"" ""slugs"" ""abalones"" ""limpets"" ""clams"" ""oysters"" ""scallops"" ""mussels"" ""jellyfish"""
vertebrate;vertebrates;TRUE;animal;;common;
election;elections;FALSE;event;;all;" ""2004 presidential election"" ""2000 presidential election"""
sportsEvent;sports events;FALSE;event;;all;" ""2004 Olympic Summer Games"" ""2002 Olympic Winter Games"" ""2000 Olympic Summer Games"" ""last night 's match"""
bakedGood;baked goods;TRUE;food;;all;" ""muffins"" ""breads"" ""croissants"" ""tarts"" ""cookies"" ""flatbreads"" ""scones"" ""cakes"" ""tartlets"" ""biscotti"" "
beverage;beverages;TRUE;food;;all;" ""coffee"" ""Coke"" ""Pepsi"" ""mango lassi"" ""orange juice"" ""milk"" ""beer"" ""ale"" ""apple juice"" ""red wine"""
candy;candy;TRUE;food;;proper;" ""Skittles"" ""Snickers"" ""caramels"" ""cotton candy"" ""Jawbreakers"" ""Nerds"" ""Sweet Tarts"" ""Lifesavers"" ""gummi bears"" ""chewing gum"""
condiment;condiments;TRUE;food;;all;" ""ketchup"" ""yellow mustard"" ""mayonnaise"" ""dijon mustard"" ""soy sauce"" ""barbecue sauce"" ""hot sauce"" ""wasabi"" ""duck sauce"" ""horseradish"" "
fruit;fruits;TRUE;food;;all;" ""apples"" ""oranges"" ""pears"" ""pineapples"" ""strawberries"" ""lemons"" ""watermelons"" ""grapes"" ""limes"" ""kiwis"""
vegetable;vegetables;TRUE;food;plant fungus;common;" ""carrots"" ""celery"" ""corn"" ""lettuce"" ""tomatoes"" ""potatoes"" ""spinach"" ""arugola"" ""rhubarb"" ""chard"" ""amaranth"" ""peppers"" ""mushrooms"" ""peas"" ""green beans"""
arthropod;arthropods;TRUE;invertebrate;;common;" ""ants"" ""bees"" ""velvet worms"" ""crabs"" ""spiders"" ""scorpions"" ""centipedes"" ""millipedes"" ""butterflies"" ""flies"" ""beetles"" ""wasps"" ""tilobites"" ""lice"" ""lobsters"""
bodyPart;body parts;TRUE;item;;common;" ""arm"" ""eye"" ""foot"" ""hand"" ""leg"" ""nose"" ""throat"" ""stomach"" ""spleen"" ""intestines"" ""brain"" ""knee"" ""thigh"" ""heart"" ""ear"""
buildingFeature;building features;TRUE;item;;common;" ""arches"" ""chimneys"" ""closets"" ""doors"" ""windows"" ""shutters"" ""roofs"" ""walls"" ""elevators"" ""stairs"" ""porches"" ""decks"" ""blinds"" ""sheds"" ""hallways"""
clothing;clothing;TRUE;item;;common;" ""coats"" ""dresses"" ""pants"" ""shirts"" ""skirts"" ""pant suits"" ""gowns"" ""hats"" ""ear muffs"" ""socks"" ""mittens"" ""shoes"" ""underwear"" ""belts"" ""scarves"""
food;foods;FALSE;item;animal;common;" ""tomatoes"" ""steak"" ""ice cream"" ""pumpkin pie"" ""artichokes"" ""cheddar cheese"" ""spinach"" ""cookies"" ""apples"" ""lettuce"" ""bell peppers"" ""popcorn"" ""pancakes"" ""yogurt"" ""celery"""
fungus;fungi;TRUE;item;vegetable;common;" ""mushrooms"" ""yeast"" ""mold"" ""chitin"" ""slime mold"" ""water mold"" ""fly agaric"" ""toadstools"" ""portabellos"" ""death caps"" ""morels"" ""tufts"" ""milk-caps"""
furniture;furniture;TRUE;item;householdItem;common;" ""beds"" ""chairs"" ""desks"" ""dressers"" ""tables"" ""couches"" ""cabinets"" ""sofas""  ""ottomans"" ""stools"" ""coffee tables"" ""end tables"" ""coffee tables"" ""buffets"" ""armoires"""
householdItem;household items;TRUE;item;furniture kitchenItem;common;" ""bells"" ""keys"" ""refrigerators"" ""telephones"" ""watches"" ""shoehorns"" ""coat racks"" ""shoe racks"" ""lamps"" ""locks"" ""necklaces"" ""paint"" ""shelves"" ""bookcases"" ""sinks"""
kitchenItem;kitchen items;TRUE;item;householdItem;common;" ""bottle"" ""cup"" ""glass"" ""knife"" ""spoon"" ""pot"" ""pan"" ""plate"" ""fork"" ""rolling pin"" ""bowl"" ""tart pan"" ""pizza cutter"" ""cutting board"" ""measuring cup"" ""mugs"""
musicInstrument;musical instruments;TRUE;item;;all;" ""guitar"" ""bass"" ""drums"" ""piano"" ""violin"" ""banjo"" ""xylophone"" ""cello"" ""harmonica"" ""electric guitar"" ""acoustic guitar"" ""viola"" ""oboe"" ""clarinet"" ""saxophone"""
plant;plants;TRUE;item;vegetable;common;" ""flowers"" ""grass"" ""moss"" ""shrubs"" ""trees"" ""algae"" ""roses"" ""sunflowers"" ""pines"" ""lilypads"" ""cattails"" ""walnuts"" ""bamboo"" ""rhubarb"" ""orchids"""
product;products;TRUE;item;vehicle company;proper;" ""Accord"" ""Bounce"" ""Cascade"" ""Cheer"" ""Colgate"" ""Coolpix P6000"" ""D40"" ""EOS 40D"" ""Escalade"" ""Cherokee"" ""Honda Fit"" ""iPod"" ""Jeep Cherokee"" ""Jetta"" ""Malibu"" ""Nintendo Wii"" ""PowerShot"" ""Prius"" ""Razr"" ""Xbox 360"" ""Zune"""
sportsEquipment;sports equipment;TRUE;item;tool;common;" ""bats"" ""balls"" ""hockey pucks"" ""pucks"" ""hockey sticks"" ""soccer nets"" ""basketball nets"" ""football helmets"" ""shoulder pads"" ""goal posts"" ""skis"" ""skateboards"" ""footballs"" ""baseballs"" ""soccer balls"" ""rackets"""
tool;tools;TRUE;item;sportsEquipment;common;" ""chisels"" ""hammers"" ""pliers"" ""saws"" ""screwdrivers"" ""shovels"" ""axes"" ""pickaxes"" ""chainsaws"" ""jackhammers"" ""table saws"" ""mitre saws"" ""awls"" ""planers"" ""drills"" ""sanders"""
vehicle;vehicles;TRUE;item;product;all;" ""airplanes"" ""bicycles"" ""cars"" ""trains"" ""trucks"" ""tanks"" ""boats"" ""tricycles"" ""unicycles"" ""scooters"" ""motorcycles"" ""Harley Davidsons"" ""sports cars"" ""coupes"" ""sedans"""
building;buildings;FALSE;location;;all;" ""barns"" ""houses"" ""apartments"" ""churches"" ""igloos"" ""libraries"" ""museums"" ""skyscrapers"" ""huts"" ""cottages"" ""Sears Tower"" ""Empire State Building"" ""Trump Tower"" "
city;cities;TRUE;location;;proper;" ""Antwerp"" ""Baghdad"" ""Boston"" ""Brussels"" ""Chicago"" ""Frankfurt"" ""Hamburg"" ""Havana"" ""Houston"" ""Indianapolis"" ""London"" ""Moline"" ""Moscow"" ""Patras"" ""Pittsburgh"""
country;countries;TRUE;location;;proper;" ""Austria"" ""Brasil"" ""Canada"" ""Egypt"" ""France"" ""Germany"" ""Indonesia"" ""Iraq"" ""Mexico"" ""Morocco"" ""Netherlands"" ""New Zealand"" ""South Africa"" ""Togo"" ""United States"""
lake;lakes;TRUE;location;;proper;"""Lake Michigan"" ""Lake Erie"" ""Dead Sea"" ""Lake Huron"" ""Great Salt Lake"" ""Rachel Lake"" ""Lake Victoria"" ""Lake Maracaibo"" ""Caspian Sea"" ""Aral Sea"""
landscapeFeatures;landscape features;TRUE;location;;common;" ""forests"" ""islands"" ""lakes"" ""mountains"" ""rivers"" ""parks"" ""beaches"" ""glens"" ""groves"" ""harbors"" ""dales"" ""creeks"" ""woods"" ""crests"" ""landings"""
mountain;mountains;TRUE;location;;proper;"""Mount Everest"" ""Mount Kilimanjaro"" ""Mount Feathertop"" ""Finsteraarhorn"" ""Snowdon"" ""Table Mountain"" ""Pilot Mountain"" ""Mount McKinley"" ""Cho Oyu"" ""Lhotse"""
mountainRange;mountain ranges;TRUE;location;;proper;"""Rocky Mountains"" ""Andes"" ""Himalayas"" ""Great Dividing Range"" ""Transantarctic Mountains"" ""Appalachian Mountains"" ""Adirondack Mountains"" ""Columbia Mountains"" ""Olympic Mountains"" ""Bear River Mountains"""
river;rivers;TRUE;location;;proper;"""Nile River"" ""Thames"" ""Chicago River"" ""Mississippi River"" ""Colorado River"" ""Tigris River"" ""Euphrates"" ""Yangtze"" ""Yellow River"" ""Amazon River"""
room;rooms;TRUE;location;;common;" ""kitchens"" ""bedrooms"" ""closets"" ""living rooms"" ""hallways"" ""lobbies"" ""offices"" ""attics"" ""basements"" ""foyers"" ""dining rooms"" ""pantries"" ""bathrooms"" ""mud rooms"" ""family rooms"""
stateOrProvince;states;TRUE;location;sportsTeam;proper;" ""Florida"" ""Georgia"" ""Massachusetts"" ""Michigan"" ""New Jersey"" ""New York"" ""Ohio"" ""Texas"" ""Virginia"" ""British Columbia"" ""Manitoba"" ""Goa"" ""Karnataka"" ""Baja California"" ""Quintana Roo"""
